Sex,Height,Weight,Diet,HoursTV
f,51.5,64,Control,1.831431
f,55.8,73.5,Control,1.939693
f,54.5,74,Control,2.019219
f,55.8,75,Control,2.127957
f,56.3,77,Control,2.209135
f,56.3,83.5,Control,2.401354
f,57.8,84,Control,2.459857
m,56.3,72,Control,1.507365
m,57.3,76.5,Control,1.66108
m,57.3,83,Control,2.041439
m,57,84,Control,2.303295
m,57,84,Control,2.470117
m,56.5,91,Control,3.164435
m,57,92,Control,3.210824
f,59.5,78.5,HighCarb,2.335207
f,58.8,89,HighCarb,2.748226
f,59,91.5,HighCarb,2.872517
f,58.3,93,HighCarb,2.966728
f,59.5,93.5,HighCarb,3.014943
f,59,95,HighCarb,3.310093
f,58.3,111.5,HighCarb,3.775521
m,57.8,79.5,HighCarb,1.724724
m,57.3,80.5,HighCarb,1.945045
m,58.3,86,HighCarb,2.721527
m,59.3,87,HighCarb,3.003763
m,57.5,90,HighCarb,3.152569
m,59,98,HighCarb,3.472766
m,59,99.5,HighCarb,3.473108
f,57,84.5,HighProtein,2.664894
f,60.5,84.5,HighProtein,2.689195
f,59.5,101,HighProtein,3.315874
f,60.5,105,HighProtein,3.322904
f,55,109,HighProtein,3.688189
f,55,114,HighProtein,3.826631
f,58,122.5,HighProtein,4.117058
m,59.5,84,HighProtein,2.480115
m,60,84,HighProtein,2.629337
m,60,89,HighProtein,3.007131
m,59.5,105,HighProtein,3.659955
m,58,117.5,HighProtein,3.897218
m,60.5,118,HighProtein,3.915231
m,54,128,HighProtein,4.027415
f,62.8,93.5,HighProteinHighCarb,3.199977
f,61.3,94,HighProteinHighCarb,3.210055
f,62.3,105,HighProteinHighCarb,3.50266
f,61.3,107,HighProteinHighCarb,3.547134
f,63.3,108,HighProteinHighCarb,3.654214
f,64.3,110.5,HighProteinHighCarb,3.707725
f,66,144.5,HighProteinHighCarb,4.436374
m,61,81,HighProteinHighCarb,1.989526
m,61.8,91.5,HighProteinHighCarb,3.197425
m,62.8,94,HighProteinHighCarb,3.322349
m,60.8,97,HighProteinHighCarb,3.332268
m,66.3,117,HighProteinHighCarb,3.703617
m,61.8,118,HighProteinHighCarb,3.975862
m,64.8,128,HighProteinHighCarb,4.444128