Site,Age_2016,Biomass,Jun1.dd.accum,Jun1.precip.accum,Sep1.dd.accum,Sep1.precip.accum,summer.dd.accum,summer.precip.accum,max.month.dd.accum,max.mean.month.precip,avg.low.temp,avg.mon.rain.days,max.days.no.precip,Mix.Richness,Site.Richness.Walkthru,Site.Richness.Plots,Site.Richness.Total,Sown.Richness.Plots,Sown.Richness.Total,Nonsown.Richness.Plots,Nonsown.Richness.Total,Percent.of.Mix.Sp.Present,Mean.Plot.Richness,Num.Plots,Mean.Sown.Cover,Mean.Nonsown.Cover,pH,Organic.Matter.percent,S.ppm,P.mg.per.kg,Ca.mg.per.kg,Mg.mg.per.kg,K.mg.per.kg,Na.mg.per.kg,B.half.detection,Fe.mg.per.kg,Mn.mg.per.kg,Cu.half.detection,Zn.mg.per.kg,Al.mg.kg,Clay.percent,Silt.percent,Sand.percent,Water.Holding.Capacity
A2,14,689.575,266.2307,315.69,1483.949,569.63,1231.693,253.94,14.94208,5.714333,10.12674,11.77209,12,60,32,30,57,15,30,15,27,0.25,12.4,5,80.2,18.36,5.8,2.97,9,29,1194,178,84,21,0.35,559,3,0.1,1.74,430,3.52,14.71,81.77,0.610254973
A302,19,652.8725,417.2026,337.74,1572.53,693.42,1166.852,355.68,14.41475,7.058667,11.61656,14.47442,11,20,32,24,56,3,9,21,47,0.15,9.6,5,38.6,69.654,6.1,2.64,13,122,886,144,76,21,0.23,230,4,1.04,3.04,732,1.06,14.03,84.91,0.456849483
A4,19,698.8575,413.593,329.44,1563.737,684.72,1161.641,355.28,14.37208,7.086,11.56195,13.91628,11,20,33,27,54,5,7,22,47,0.25,11.6,5,38.82,60.272,6,2.72,11,35,1194,167,68,42,0.22,291,4,1.37,3.16,567,2.63,14.96,82.41,0.572178478
ARR,14,547.0475,266.3968,317.92,1485.856,573.64,1233.444,255.72,14.96008,5.754,10.13888,11.21395,12,69,30,21,47,12,22,9,25,0.173913043,9.6,5,37.6,78,5.8,4.92,17,120,1402,231,107,28,0.4,153,5,1.2,4.06,1268,2.95,27.14,69.91,0.632225718
B1,16,449.2875,372.1416,179.52,1478.538,477.9,1108.972,308.71,14.71275,4.927667,10.018,13.08372,14,40,24,26,47,11,19,15,28,0.275,11.8,5,19.06,73.88,6.5,0.68,7,40,336,54,18,23,0.2,223,4,0.41,3.24,134,1.14,1.06,97.8,0.405585392
B2,16,390.66,372.1416,179.52,1478.538,477.9,1108.972,308.71,14.71275,4.927667,10.018,13.08372,14,40,21,21,42,4,7,17,35,0.1,10.6,5,35.74,34.3,6.4,0.72,8,24,279,40,21,24,0.1,151,6,0.66,2.88,119,2.37,0.6,97.03,0.332605531
B3,13,287.25,301.0465,247.05,1372.914,734.8,1073.038,487.75,13.18208,11.71733,9.521256,10.52558,14,115,40,23,44,15,24,8,20,0.130434783,11.6,5,69.9,6.24,6.1,1.16,10,182,475,83,61,27,0.29,245,4,0.75,1.75,932,4.36,8.28,87.36,0.424810353
B4,13,349.705,301.0465,247.05,1372.914,734.8,1073.038,487.75,13.18208,11.71733,9.521256,10.52558,14,115,50,35,58,24,34,11,24,0.208695652,15.6,5,62.32,16.46,5.9,3.44,11,87,893,125,76,22,0.24,235,2,0.53,3.02,855,4.31,10.48,85.21,0.516401205
BoudemanKappy,12,491.17,340.6284,397.28,1282.511,721.56,950.4574,347.84,11.68358,8.281667,10.13609,13.5907,13,16,20,25,41,6,9,19,32,0.375,7.7,10,55.089,9.039,6.2,1.98,11,25,1364,121,111,28,0.23,156,72,0.97,1.66,917,13.11,35.23,51.66,0.431451939
BoudemanMain,12,474.2325,333.8917,399.02,1262.529,722.64,937.0919,346.89,11.53192,8.397667,9.914605,12.74419,14,16,31,31,54,6,9,25,45,0.375,8,10,64.642,13.008,6.3,3.36,12,54,1367,200,99,24,0.42,132,31,0.93,2.94,579,2.82,11.16,86.02,0.583706254
Brookdale,6,407.67,339.4839,254.78,1473.379,670.64,1143.923,429.72,13.83125,7.540333,10.51116,11.93023,14,21,35,22,52,11,19,11,33,0.523809524,11.6,5,78.162,7.75,7.6,2.3,8,5,1333,464,72,24,0.35,98,102,1.54,0.88,654,8.25,33.19,58.56,0.511094173
BruceWillis,5,593.0175,253.5168,354.24,1373.302,596.77,1132.955,242.54,14.90458,6.046,10.03195,12.94419,11,22,32,28,58,4,9,24,49,0.181818182,12.8,10,10.11,74.901,5.8,1.99,10,19,925,165,102,28,0.47,138,82,1.4,1.19,819,11.38,37.65,50.97,0.4725216
ButlerWest,10,604.4075,275.2122,256.69,1326.074,619.85,1062.549,363.16,13.98358,5.567,9.602233,12.73023,9,8,13,35,46,3,3,32,43,0.375,12,10,31.31,52.584,5.2,3.23,19,85,283,83,45,21,0.1,195,6,0.52,1.04,1181,9.69,26.2,64.11,0.548402711
C1,8,339.63,233.126,205.21,1327.682,570.23,1105.556,385.36,13.29258,9.043,9.65414,11.2093,14,131,39,26,60,17,35,9,25,0.129770992,9.6,5,68.68,7.28,5.4,1.22,13,328,274,45,67,25,0.24,296,4,0.5,1.95,1120,2.55,12.16,85.29,0.42563113
C2,10,487.9013,330.4094,340.8,1469.945,681.69,1150.781,340.89,14.954,7.035,10.68023,10.42791,17,130,30,20,45,7,21,13,24,0.053846154,8.6,5,39.268,41.082,5.7,1.76,15,414,516,76,78,33,0.22,228,3,0.4,1.26,1491,5.94,9.12,84.94,0.42327896
C3,10,NA,330.4094,340.8,1469.945,681.69,1150.781,340.89,14.954,7.035,10.68023,10.42791,17,130,32,25,57,10,21,15,36,0.076923077,9,5,38.2,63.06,6,3.77,12,86,1454,225,123,35,0.34,272,6,0.7,2.62,721,2.69,14.87,82.44,0.526538497
C4,10,563.6667,330.4094,340.8,1469.945,681.69,1150.781,340.89,14.954,7.035,10.68023,10.42791,17,130,58,39,69,19,33,20,36,0.146153846,13,5,49.102,52.058,6.1,3.34,11,141,899,136,84,18,0.27,398,5,0.36,3.16,756,7.76,9.87,82.37,0.582004841
Calme,6,510.26,346.9251,262.03,1483.902,562.07,1147.802,316.92,13.92217,6.060333,10.80302,12.11163,12,42,20,37,53,11,14,26,39,0.261904762,13.8,10,34.171,44.763,6,1.58,11,63,604,109,101,21,0.1,140,63,0.64,2.18,750,6.97,22.42,70.61,0.426598594
D1,9,494.505,425.8422,231.15,1567.258,603.04,1154.653,371.89,13.87008,7.266,10.82191,10.27907,16,137,30,26,54,14,32,12,22,0.102189781,11,5,55.7,20.82,5.8,1.72,11,357,500,73,69,24,0.42,376,3,0.85,3.9,1145,4.3,7.16,88.54,0.442985025
E1,2,424.1775,300.2145,246.49,1337.546,705.5,1051.507,459.01,12.42542,8.007667,9.081953,12.50698,10,78,30,25,52,1,8,24,44,0.012820513,9.2,5,0.8,66.62,6.8,0.72,8,24,388,70,22,28,0.22,133,7,0.65,2.74,99,2.54,0.75,96.71,0.329020205
ELF_AntonEastAddition,8,632.5975,206.1452,194.2,1216.714,411.85,1020.202,227.26,12.418,10.98633,8.951442,11.44651,13,71,19,38,55,28,35,10,20,0.394366197,13.4,10,68.2,11.19,6.1,2.99,12,37,1072,137,44,24,0.3,133,60,1.14,1.93,846,7.14,40.56,52.3,0.527395833
ELF_AntonWest,8,633.4467,206.1452,194.2,1216.714,411.85,1020.202,227.26,12.418,10.98633,8.951442,11.44651,13,71,17,46,58,24,34,22,24,0.338028169,13.8,10,80.027,13.055,6.2,2.36,10,11,1277,153,54,24,0.52,118,70,0.81,1.7,720,6.15,36.8,57.05,0.48755559
ELF_BarnhouseSouth1,6,727.355,353.5863,266.57,1507.101,564.97,1164.645,318.02,14.09525,5.959,11.04735,12.04186,11,45,38,43,70,13,21,30,49,0.288888889,16.5,10,72.172,26.222,6.3,2.08,11,32,961,101,42,21,0.28,138,68,0.88,3.32,695,4.42,32.25,63.33,0.449859254
ELF_Bohunk2,10,239.64,273.9864,229.61,1329.559,603.63,1066.295,374.02,14.1385,6.223667,9.813023,11.92558,15,43,24,35,56,12,24,23,32,0.279069767,11.2,10,54.687,9.045,5.8,1.28,11,44,435,38,38,23,0.1,111,25,0.1,1.25,684,1.97,11.23,86.8,0.393153991
ELF_ELI,11,667.9375,264.0846,110.78,1452.384,363.02,1197.32,252.24,14.48371,4.318,9.834605,10.62791,19,40,17,39,53,20,25,19,28,0.5,10.8,10,73.445,10.96,5.4,1.58,13,81,430,70,82,23,0.1,166,43,0.59,2.5,718,4.12,19.86,76.02,0.385003658
ELF_Gench,9,668.99,364.3715,249.01,1434.41,671.96,1083.944,422.95,12.67008,10.78633,10.09247,11.76279,14,39,22,23,39,13,20,10,19,0.333333333,6.5,10,72.97,12.751,6,1.8,10,30,935,139,113,24,0.28,169,67,1.27,2.03,791,10.53,29.94,59.53,0.411041852
ELF_GenchAgNE,2,732.81,266.9827,201.48,1283.208,591.14,1029.086,389.66,12.149,8.481,9.017302,14.26977,9,17,8,31,36,15,16,16,20,0.882352941,11.7,10,88.51,7.707,6.1,2.11,11,25,986,276,60,23,0.3,124,38,1.23,1.35,810,10.12,37.4,52.48,0.424526721
ELF_GenchAgNW,2,781.33,266.9827,201.48,1283.208,591.14,1029.086,389.66,12.149,8.481,9.017302,14.26977,9,35,25,35,55,23,27,12,28,0.657142857,13.9,10,90.1,2.539,5.8,2.49,14,64,1211,119,57,21,0.23,156,37,1.54,2.14,1059,8.26,41.39,50.35,0.468946671
ELF_GenchAgSE,1,585.9,299.0091,242.181,1293.162,591.474,995.3543,350.934,12.38833,7.064933,10.18381,13.2093,20,17,25,31,55,11,14,20,41,0.647058824,11.4,10,79.251,8.322,6.1,1.94,11,24,1171,224,52,26,0.32,124,38,1.47,1.64,777,11.46,30.25,58.29,0.442709163
ELF_GenchAgSW,1,455.93,299.0091,242.181,1293.162,591.474,995.3543,350.934,12.38833,7.064933,10.18381,13.2093,20,17,28,27,48,13,14,14,34,0.764705882,11.3,10,66.18,1.91,5.9,1.81,11,31,983,196,60,25,0.22,133,42,1.11,2.01,802,8.06,28.3,63.64,0.43639626
ELF_HQAddition,3,847.17,286.6556,283.21,1282.041,593.92,1006.115,313.68,13.13317,7.225667,9.26414,13.2093,10,55,29,48,70,19,29,29,41,0.345454545,17.2,10,44.455,43.887,6.9,1.99,10,30,1109,203,71,21,0.1,117,58,0.89,1.65,615,14.41,21.65,63.94,0.456468531
ELF_KneppleCorridor,4,782.6125,425.6741,225.06,1557.922,451.92,1136.989,230.9,15.90592,5.21,10.80805,10.42326,13,51,21,36,51,18,22,18,29,0.352941176,13.3,10,66.612,5.387,6,1.8,9,14,863,167,95,24,0.41,127,52,0.79,1.07,821,10.47,36.26,53.27,0.423776582
ELF_ParsonsNorth,5,660.08,253.303,379.27,1362.89,659.11,1122.589,280.33,14.79283,6.403,9.930326,13.66512,9,68,30,44,68,25,34,19,34,0.367647059,11.7,10,54.48,36.052,5.7,1.81,13,37,879,119,144,27,0.97,156,48,0.91,1.49,831,9.53,22.76,67.71,0.41136529
F1,10,447.0375,330.4094,340.8,1469.945,681.69,1150.781,340.89,14.954,7.035,10.68023,10.42791,17,130,23,28,48,12,18,16,30,0.092307692,11.6,5,43,25.8,7.8,0.56,9,34,530,140,21,23,0.4,231,23,1.11,5.27,147,0.94,0.32,98.74,0.401590294
FRR,12,157.0975,312.5346,119.81,1552.837,350.52,1249.848,230.71,14.88008,5.090333,10.5586,9.767442,19,96,34,18,36,8,17,10,19,0.083333333,8.6,5,53.18,18.902,6.7,0.67,9,52,520,66,24,23,0.1,199,5,0.43,2.55,324,2.72,0.59,96.69,0.361144136
FRRE,10,262.5925,332.3848,342.92,1475.316,687.99,1154.209,345.07,15.00317,6.838667,10.71967,11.0186,17,130,35,20,39,10,19,10,20,0.076923077,9.4,5,58.52,8.78,5.3,0.8,10,73,220,40,26,23,0.1,265,2,0.41,0.95,349,4.89,0.14,94.97,0.344345616
GilchristPhase1,NA,732.69,286.1878,227.28,1357.342,602.42,1082.669,375.14,14.203,5.925,9.916698,12.45581,12,19,15,18,31,7,8,11,23,0.368421053,6.5,10,34.3,55.16,6.2,1.95,12,72,671,139,80,20,0.1,148,38,0.57,1.76,707,3.5,19.35,77.15,0.414757901
GilchristPhase2,NA,1008.028,373.6591,223.4,1467.783,629.95,1108.394,406.55,13.01983,10.58433,10.17698,11.66977,14,26,21,29,47,15,18,14,29,0.576923077,8.8,10,43.44,71.94,5.3,3.02,16,48,721,102,90,21,0.23,143,65,0.54,1.96,790,7.05,32.94,60.01,0.547166721
GlacialPark,4,454.795,370.4603,225.94,1528.582,382.15,1161.615,160.2,16.07033,3.923667,10.40358,9.95814,16,43,41,28,60,12,28,16,32,0.279069767,12.4,5,39.642,27.65,6.3,2.98,10,8,1970,461,103,41,1.81,153,190,1.7,1.58,858,26.25,42.28,31.47,0.641759028
GooseLake417,5,NA,204.7914,292.42,1298.666,642.82,1104.265,350.4,14.85442,7.821333,9.296837,11.26512,18,14,14,22,34,9,14,13,20,0.642857143,12.4,5,64.84,30.12,6.4,3.3,14,39,2061,634,91,27,0.43,145,38,1.65,1.51,880,9.03,41.78,49.19,0.554771856
GooseLake463,4,609.8975,375.6618,218.5,1534.19,371.5,1162.127,157.91,16.07058,3.903,10.3473,10.02791,16,15,16,28,38,8,11,20,27,0.533333333,12.4,5,33.3,54.74,7.3,8.13,12,19,3722,947,140,28,1.26,114,44,2.93,3.37,626,32.02,39.33,28.65,0.785522015
Groos_Prairie,8,442.3175,212.237,184.51,1215.324,469.33,1012.039,287.71,12.44658,8.591667,8.63707,11.37209,15,38,21,21,42,11,16,10,26,0.289473684,6.9,10,67.07,14.135,5.4,1.86,18,61,308,22,61,24,0.1,125,11,0.22,1.23,1242,1.09,10.72,88.19,0.446998012
Groos_SESavanna,10,317.6175,283.3112,293.69,1346.358,515.13,1074.595,221.44,14.21958,5.468,9.541767,12.12093,14,34,28,20,44,10,21,10,23,0.294117647,7,10,74.61,7.009,5.1,1.33,16,97,192,20,62,28,0.47,147,24,0.62,1.11,994,3.08,6.96,89.96,0.394264937
Groos_SWSavanna,8,668.35,212.237,184.51,1215.324,469.33,1012.039,287.71,12.44658,8.591667,8.63707,11.37209,15,33,21,26,46,13,18,13,28,0.393939394,10.5,10,61.022,17.31,5.4,1.5,10,23,419,59,93,21,0.1,136,30,0.23,0.82,727,5.91,28.32,65.77,0.49841241
H1,14,764.8875,266.2307,315.69,1483.949,569.63,1231.693,253.94,14.94208,5.714333,10.12674,11.77209,12,84,23,25,37,8,14,17,23,0.095238095,13,5,48.302,46.79,5.6,0.95,7,65,353,43,47,28,0.38,636,5,0.34,2.12,238,1.05,10.8,88.15,0.442951101
H2,14,916.4967,266.2307,315.69,1483.949,569.63,1231.693,253.94,14.94208,5.714333,10.12674,11.77209,12,84,24,40,54,17,23,23,31,0.202380952,17.2,5,72.23,45.042,5.2,2.18,11,60,471,74,59,24,0.65,784,8,0.1,4.73,351,1.22,11.45,87.33,0.53883253
HighPoint1,8,409.4875,191.1783,293.46,1173.862,682.61,990.7757,391.48,12.17383,7.539333,8.76507,11.20465,15,26,41,32,58,15,22,17,36,0.576923077,15.2,5,33.32,30.76,7.7,1.89,8,17,1999,718,104,29,0.63,148,94,1.31,0.84,782,25.7,42.73,31.57,0.503125781
HighPoint3,7,657.38,228.4762,320.7,1060.921,640.64,838.0833,332.14,10.56808,5.977333,8.279023,11.46047,22,25,26,36,49,18,21,18,28,0.72,17.8,5,35.92,61.54,5.4,3.22,10,20,1452,303,81,30,0.36,184,101,1.61,2.15,839,9.79,68.33,21.88,0.652814248
HillcrestTall,11,763.005,235.8998,114.52,1400.638,410.47,1173.088,295.95,14.07867,4.923667,9.554651,11.2093,16,36,33,14,43,8,18,6,25,0.222222222,4,10,60.852,24.441,6.2,2.03,9,47,906,80,109,23,0.44,168,118,4.62,2.46,740,5.95,36.36,57.69,0.5
HuronTDr,4,702.7925,409.2464,213.03,1550.618,411.82,1146.533,199.27,15.9385,4.369333,10.74651,11.73023,10,20,33,24,55,9,14,15,41,0.45,8.9,10,45.17,10.593,5.8,1.09,9,19,537,87,63,22,0.1,211,54,0.94,0.86,600,4.21,16.04,79.75,0.404430125
J1,7,776.64,309.8818,380.53,1298.767,636.77,996.9223,256.7,12.16675,6.248,9.696,11.92093,14,149,0,37,37,19,19,18,18,0.127516779,12.83333333,6,106.2,16.58333333,6.2,2.68,9,88,1122,226,153,21,0.62,561,5,0.1,4.81,508,1.14,11.96,86.9,0.515629509
J2,3,418.65,312.1122,375.43,1360.403,628.79,1058.796,298.2,13.34708,8.193333,9.57186,11.29767,10,221,23,20,42,1,6,19,36,0.004524887,9.6,5,0.4,66.606,6.1,3,8,59,1050,246,147,18,0.1,320,3,0.48,3.18,580,2.27,15.27,82.46,0.568491454
J3,5,543.5725,290.5072,403.89,1504.012,714.43,1226.15,310.54,15.94717,6.858333,10.73214,13.21395,11,133,1,34,35,7,7,27,28,0.052631579,11.8,5,44.7,68.01,5.7,3.24,10,50,1307,140,115,25,0.51,477,5,0.65,4.14,668,3.8,13.03,83.17,0.531271072
JSE,7,710.355,309.8818,380.53,1298.767,636.77,996.9223,256.7,12.16675,6.248,9.696,11.92093,14,149,61,34,68,16,26,18,42,0.10738255,13.4,5,85,25.13,6.1,1.68,8,58,827,127,89,20,0.4,488,9,0.86,4.11,362,2.37,8.52,89.11,0.460516467
K1998,18,464.095,357.7042,262.83,1527.562,548.49,1182.188,300.94,15.47433,5.207667,10.32656,10.6093,25,5,32,21,40,3,3,18,37,0.6,9.4,5,42.4,15.932,5.4,1.62,10,44,331,62,27,25,0.36,397,3,0.54,4.47,290,3.59,0.44,95.97,0.436026662
K1999,17,440.99,356.0459,224.4,1423.603,575.42,1079.039,352.91,12.69778,7.872,10.33874,11.01395,14,63,33,32,56,8,22,24,34,0.126984127,11.8,5,26.34,61.41,6.3,2.24,8,112,1105,181,92,22,0.38,426,2,0.1,1.65,441,6.26,10.75,82.99,0.540067179
K2,13,733.9125,306.5578,257.5,1381.624,760.55,1076.383,503.05,13.184,11.89133,9.54986,10.66512,14,86,27,44,65,22,30,22,35,0.255813953,14.2,5,57.54,49.66,6.7,1.74,10,52,915,232,70,92,0.49,432,8,1.2,2.89,339,6.3,3.44,90.26,0.464376297
K79,14,827.375,269.2346,320.5,1486.874,594.97,1231.784,274.47,14.93333,5.992667,10.14153,11.8186,12,69,37,22,57,6,24,16,33,0.086956522,7.8,5,53.2,43.28,6.4,2.8,13,25,1503,247,68,26,0.61,532,10,1.41,4.77,433,6.23,8.27,85.5,0.513243516
KildeaBack,9,352.82,367.8162,240.35,1469.715,603.02,1116.141,362.67,13.165,8.050667,10.37205,13.53023,11,30,13,16,29,10,19,6,10,0.333333333,6.2,10,69.593,23.001,5.1,1.15,12,68,251,23,78,23,0.1,154,51,0.65,1.97,780,5.7,49.38,44.92,0.376588898
KishCorr54,13,709.935,235.7418,225.59,1285.367,460.81,1051.433,235.22,13.15058,5.767,8.352279,9.493023,12,30,19,29,45,12,18,17,27,0.4,10.1,10,32.64,53.86,6.6,6.04,12,19,3242,576,72,36,0.89,129,23,1.41,1.64,583,6.56,32.48,60.96,0.793934085
KishCorr871Mesic,12,948.5325,296.5208,359.08,1192.554,633.91,904.4878,317.28,11.26875,8.142667,8.964651,10.9907,16,30,30,28,54,14,21,14,33,0.466666667,10,10,51.523,24.382,6.9,8.13,14,38,4555,875,136,44,1.19,202,75,2.91,3.04,629,7.95,42.13,49.92,0.769545695
KishCorr873Dry,12,537.36,296.5208,359.08,1192.554,633.91,904.4878,317.28,11.26875,8.142667,8.964651,10.9907,16,21,38,28,59,6,11,22,48,0.285714286,8.3,10,45.91,38.62,5.6,2.58,13,90,1367,237,184,27,0.34,179,47,1.44,2.92,1006,10.33,37.43,52.24,0.513746981
KishHead1,10,661.6325,286.7904,291.67,1348.032,592.12,1070.314,300.45,14.39983,4.915667,9.699209,14.00465,17,25,38,25,51,4,9,21,42,0.16,13.4,5,7.7,83.62,5.5,3.11,12,11,1629,427,179,28,0.46,207,80,2.6,2.42,953,19.11,54.51,26.38,0.575944487
KishHead3,10,667.645,286.7904,291.67,1348.032,592.12,1070.314,300.45,14.39983,4.915667,9.699209,14.00465,17,18,24,30,44,10,10,20,34,0.555555556,11.8,5,48.56,35.96,6.4,4.52,12,15,2685,635,174,35,1.28,200,78,3.06,4.1,812,30.28,49.2,20.52,0.58409584
KNC_Central,11,576.045,257.356,116.78,1447.884,373.28,1199.4,256.5,14.35375,4.808333,9.743907,12.2093,17,21,33,24,41,11,16,13,25,0.523809524,11,5,51.68,20.392,5.7,2.71,10,35,1184,187,102,20,0.1,165,43,0.78,1.9,832,9.84,59.3,30.86,0.577448545
KNC_North,10,722.3675,285.8301,275.15,1352.063,555.63,1077.515,280.48,14.18092,4.797667,9.455256,13.84186,15,18,18,21,35,7,11,14,24,0.388888889,12,5,45.58,33.26,6,3.94,12,21,1726,202,65,26,0.3,151,44,1.28,2.14,775,6.59,52.93,40.48,0.621354711
KNC_South,10,576.705,283.6223,270.81,1348.125,537.95,1075.796,267.14,14.14667,4.756,9.507209,13.46047,15,13,30,28,55,4,9,24,46,0.307692308,11,5,26.58,57.094,6.8,3.25,12,26,1468,238,97,21,0.47,115,70,1.31,3.41,539,3.99,28.92,67.09,0.490944194
L2,16,597.5475,376.9131,175.82,1485,483.99,1110.694,318.43,14.69076,4.826333,10.04512,12.84651,14,68,27,28,50,7,10,21,40,0.102941176,9.4,5,29.02,74.72,7,1.37,10,24,595,132,20,25,0.52,280,14,1.04,2.69,207,4.26,3.11,92.63,0.410678595
L6,12,240.99,389.7994,281,1349.079,718.78,968.5995,509.97,11.94158,8.533333,10.15591,10.86512,21,38,26,23,47,5,9,18,38,0.131578947,10.6,5,27,38.062,6,0.65,7,33,191,33,19,24,0.1,126,2,0.53,2.67,184,1.22,0.32,98.46,0.325238242
LN,9,601.56,431.6963,224.88,1573.992,572.63,1155.545,347.75,13.88358,6.449,10.8134,10.66512,15,102,67,28,73,13,29,15,44,0.12745098,9.6,5,49.7,31.2,7.5,2.67,11,14,1338,186,45,22,0.69,452,70,0.66,3.03,143,3.75,8.44,87.81,0.564822744
Marengo282,7,601.485,238.8827,367.26,1100.648,692.26,868.4647,337.99,10.91558,6.903667,8.366744,11.22326,23,21,38,30,55,12,17,18,38,0.571428571,16.2,5,52.544,32.152,6.5,1.76,10,26,1521,518,139,26,0.58,182,83,1.1,0.9,837,24.52,41.07,34.41,0.523640167
Marengo84,11,580.5275,260.8904,144.43,1439.317,339.3,1186.475,194.87,14.32633,4.458667,9.757628,9.795349,18,16,41,27,62,0,10,27,52,0,13.4,5,0.001,66.682,6.9,3.83,11,13,3050,756,112,39,0.59,133,60,2.66,1.99,557,14.05,53.77,32.18,0.659090909
Mehring,8,803.7467,215.3518,221.79,1253.428,479.73,1048.001,270.04,12.79508,11.209,9.320326,11.96744,14,38,41,24,61,12,27,12,34,0.315789474,7.1,10,72.172,5.827,5.9,1.94,10,52,608,87,44,23,0.1,123,57,0.43,1.97,745,1.37,24.31,74.32,0.487226736
Monsanto,7,629.79,281.2403,357.02,1195.498,642.46,920.6973,288.49,11.66317,5.698,8.871256,11.43721,14,16,20,17,31,7,9,10,22,0.4375,6.1,10,65.45,15.267,7.7,2.16,10,57,1557,161,104,21,0.39,184,109,1.57,1.99,627,7.9,17.86,74.24,0.476493711
NorthBranch,13,492.85,204.2808,230.39,1209.435,467.56,1006.684,237.17,12.64508,5.359,8.14814,10.48372,11,23,24,30,50,12,16,18,34,0.52173913,14.8,5,45.48,32.282,5.7,3.31,11,28,1845,450,195,27,0.63,141,46,1.19,2.34,911,30.7,52.01,17.29,0.586109336
O1,2,384.8925,297.4651,241.15,1332.833,683.34,1049.571,442.19,12.38133,7.929,9.055581,12.36744,10,108,44,30,70,15,34,15,36,0.138888889,10.4,5,47.12,23.762,7,1.75,9,13,782,219,82,24,0.34,289,23,0.88,1.9,255,7.97,12.36,79.67,0.486643532
O2,7,381.9475,306.5068,362.58,1293.702,621.58,995.1349,259.51,12.14258,6.242,9.690279,11.63721,14,170,0,23,23,8,8,15,15,0.047058824,9.4,5,7.82,101.686,6.8,1.85,8,16,941,210,70,25,0.39,253,14,1.23,3.04,284,6.59,5.22,88.19,0.480726824
PioneerFen,7,558.18,221.8523,340.01,1077.104,679.49,860.8143,350.53,11.06433,6.871,8.338372,12.15814,22,26,22,24,44,6,9,18,35,0.230769231,10.6,5,18.26,94.2,6.3,2.23,10,18,1905,502,124,41,0.72,234,355,1.61,2.3,807,25.76,56.67,17.57,0.559032717
PleasantValley55,13,NA,220.2779,227.02,1235.219,465.68,1016.29,238.66,12.7095,5.317667,8.388698,9.818605,12,15,15,18,30,7,13,11,17,0.466666667,10.6,5,59.28,8.852,7.5,2.93,8,4,1933,762,145,27,1.46,106,116,2,1.33,729,36.09,35.85,28.06,0.581206258
PleasantValley81,12,514.09,279.7921,437.8,1156.06,724.71,884.1734,333.48,11.10658,10.1,8.977023,10.19535,17,12,17,18,30,7,8,11,22,0.583333333,7.2,5,67.02,10.52,7.8,6.45,12,7,8213,574,77,60,2.66,61,45,2.74,1.97,61,26.32,28.57,45.11,0.68059593
PokagonEast,4,408.18,413.2029,205.65,1508.535,429.47,1099.724,230.2,15.47392,5.133,10.21716,10.2,15,19,21,23,38,10,13,13,25,0.526315789,6.5,10,70.33,3.45,6.8,1.13,9,65,619,108,78,20,0.1,104,15,0.47,1.43,719,7.78,11.13,81.09,0.411745514
PokagonWest,4,373.3025,413.2029,205.65,1508.535,429.47,1099.724,230.2,15.47392,5.133,10.21716,10.2,15,33,7,21,28,13,16,8,12,0.393939394,8.5,10,68.87,2.753,5.8,1.54,11,109,480,73,92,23,0.1,174,28,1.55,1.74,878,2.9,19.09,78.01,0.425863483
SandCreekDryEast,12,391.45,323.0889,362.06,1217.896,735.24,902.8674,400.51,11.19892,7.326,9.221535,14.48837,13,55,22,34,53,15,22,19,31,0.272727273,11.9,10,63.412,7.443,6,1.48,12,209,556,87,75,22,0.1,160,19,0.63,1.35,1303,2.41,10.65,86.94,0.447751274
SandCreekMesic,12,731.345,323.0889,362.06,1217.896,735.24,902.8674,400.51,11.19892,7.326,9.221535,14.48837,13,68,25,28,51,14,26,14,25,0.205882353,8.9,10,56.38,20.682,5.7,6.76,18,71,1897,238,85,29,0.63,203,10,1.7,4.18,842,2.41,17.4,80.19,0.658048917
StickneyRun,9,763.3375,324.7342,230.31,1373.86,829.55,1059.073,604.28,12.65075,12.04467,10.02716,10.73023,11,11,36,24,55,6,10,18,45,0.545454545,8.2,5,11.62,62.51,7.1,6.92,18,14,3434,867,91,45,1.14,176,110,2.35,2.83,516,26.41,39.06,34.53,0.798710024